,MDS-UPDRS Prediction target,Feature,Type,Best performing model,Best performing parcellation,R2,RMSE,AUC,PPV,NPV,Spec.,Sens.
0,Baseline,fALFF,A.1,Random Forest,BASC197,0.093,14.77,0.627,57.1%,68.3%,69.5%,55.8%
0,Baseline,fALFF,A.1,Random Forest,BASC444,0.041,15.19,0.633,56.5%,69.6%,66.1%,60.5%
0,Baseline,fALFF,A.1,Random Forest,Schaefer,0.008,15.45,0.616,54.2%,68.5%,62.7%,60.5%
0,Baseline,fALFF,B.1,ElasticNet,BASC197,-0.02,16.16,0.438,28.6%,55.7%,69.4%,18.2%
0,Baseline,fALFF,B.1,ElasticNet,BASC444,-0.037,16.3,0.559,50.0%,63.8%,75.5%,36.4%
0,Baseline,fALFF,B.1,ElasticNet,Schaefer,0.055,15.56,0.473,36.7%,57.7%,61.2%,33.3%
0,Baseline,fALFF,B.1,Gradient Boosting,BASC197,-0.06,16.47,0.453,33.3%,56.4%,63.3%,27.3%
0,Baseline,fALFF,B.1,Gradient Boosting,BASC444,-0.165,17.27,0.493,39.3%,59.3%,65.3%,33.3%
0,Baseline,fALFF,B.1,Gradient Boosting,Schaefer,-0.024,16.19,0.554,48.1%,63.6%,71.4%,39.4%
0,Baseline,fALFF,B.1,SVM,BASC197,-0.371,18.73,0.565,56.2%,63.6%,85.7%,27.3%
0,Baseline,fALFF,B.1,SVM,BASC444,-0.258,17.95,0.453,31.8%,56.7%,69.4%,21.2%
0,Baseline,fALFF,B.1,SVM,Schaefer,-0.903,22.07,0.413,9.1%,54.9%,79.6%,3.0%
0,Baseline,fALFF,B.1,Random Forest,BASC197,-0.006,16.05,0.524,43.3%,61.5%,65.3%,39.4%
0,Baseline,fALFF,B.1,Random Forest,BASC444,-0.071,16.56,0.513,41.9%,60.8%,63.3%,39.4%
0,Baseline,fALFF,B.1,Random Forest,Schaefer,-0.061,16.48,0.382,20.8%,51.7%,61.2%,15.2%
0,Baseline,fALFF,B.2,ElasticNet,BASC197,-0.017,16.14,0.453,31.8%,56.7%,69.4%,21.2%
0,Baseline,fALFF,B.2,ElasticNet,BASC444,0.023,15.82,0.605,53.1%,68.0%,69.4%,51.5%
0,Baseline,fALFF,B.2,ElasticNet,Schaefer,0.006,15.95,0.427,29.6%,54.5%,61.2%,24.2%
0,Baseline,fALFF,B.2,Gradient Boosting,BASC197,-0.009,16.08,0.452,34.4%,56.0%,57.1%,33.3%
0,Baseline,fALFF,B.2,Gradient Boosting,BASC444,-0.125,16.97,0.488,38.9%,58.7%,55.1%,42.4%
0,Baseline,fALFF,B.2,Gradient Boosting,Schaefer,-0.038,16.3,0.442,33.3%,55.1%,55.1%,33.3%
0,Baseline,fALFF,B.2,SVM,BASC197,-0.391,18.87,0.453,29.4%,56.9%,75.5%,15.2%
0,Baseline,fALFF,B.2,SVM,BASC444,-0.283,18.13,0.478,36.4%,58.3%,71.4%,24.2%
0,Baseline,fALFF,B.2,SVM,Schaefer,-0.509,19.66,0.509,42.9%,60.3%,83.7%,18.2%
0,Baseline,fALFF,B.2,Random Forest,BASC197,-0.056,16.44,0.489,38.1%,59.0%,73.5%,24.2%
0,Baseline,fALFF,B.2,Random Forest,BASC444,0.017,15.87,0.558,46.2%,65.1%,57.1%,54.5%
0,Baseline,fALFF,B.2,Random Forest,Schaefer,-0.068,16.53,0.432,32.4%,54.2%,53.1%,33.3%
0,Baseline,fALFF,B.3,ElasticNet,BASC197,-0.033,16.26,0.453,33.3%,56.4%,63.3%,27.3%
0,Baseline,fALFF,B.3,ElasticNet,BASC444,-0.064,16.51,0.397,24.0%,52.6%,61.2%,18.2%
0,Baseline,fALFF,B.3,ElasticNet,Schaefer,-0.009,16.07,0.508,41.4%,60.4%,65.3%,36.4%
0,Baseline,fALFF,B.3,Gradient Boosting,BASC197,-0.095,16.75,0.457,35.3%,56.2%,55.1%,36.4%
0,Baseline,fALFF,B.3,Gradient Boosting,BASC444,0.018,15.86,0.544,46.4%,63.0%,69.4%,39.4%
0,Baseline,fALFF,B.3,Gradient Boosting,Schaefer,-0.076,16.6,0.534,44.8%,62.3%,67.3%,39.4%
0,Baseline,fALFF,B.3,SVM,BASC197,-0.816,21.56,0.478,36.4%,58.3%,71.4%,24.2%
0,Baseline,fALFF,B.3,SVM,BASC444,-0.607,20.29,0.463,33.3%,57.4%,71.4%,21.2%
0,Baseline,fALFF,B.3,SVM,Schaefer,-0.976,22.49,0.464,31.2%,57.6%,77.6%,15.2%
0,Baseline,fALFF,B.3,Random Forest,BASC197,-0.014,16.11,0.513,41.9%,60.8%,63.3%,39.4%
0,Baseline,fALFF,B.3,Random Forest,BASC444,-0.088,16.69,0.488,38.7%,58.8%,61.2%,36.4%
0,Baseline,fALFF,B.3,Random Forest,Schaefer,-0.064,16.51,0.498,40.0%,59.5%,51.0%,48.5%
0,Baseline,fALFF,C.1,ElasticNet,BASC197,0.048,15.61,0.528,43.8%,62.0%,63.3%,42.4%
0,Baseline,fALFF,C.1,ElasticNet,BASC444,0.003,15.97,0.503,40.6%,60.0%,61.2%,39.4%
0,Baseline,fALFF,C.1,ElasticNet,Schaefer,0.058,15.53,0.554,46.9%,64.0%,65.3%,45.5%
0,Baseline,fALFF,C.1,Gradient Boosting,BASC197,0.008,15.94,0.544,45.5%,63.3%,63.3%,45.5%
0,Baseline,fALFF,C.1,Gradient Boosting,BASC444,-0.093,16.73,0.549,45.7%,63.8%,61.2%,48.5%
0,Baseline,fALFF,C.1,Gradient Boosting,Schaefer,-0.052,16.41,0.569,47.4%,65.9%,59.2%,54.5%
0,Baseline,fALFF,C.1,SVM,BASC197,-0.571,20.06,0.489,37.5%,59.1%,79.6%,18.2%
0,Baseline,fALFF,C.1,SVM,BASC444,-0.254,17.92,0.489,37.5%,59.1%,79.6%,18.2%
0,Baseline,fALFF,C.1,SVM,Schaefer,-0.746,21.15,0.474,33.3%,58.2%,79.6%,15.2%
0,Baseline,fALFF,C.1,Random Forest,BASC197,-0.007,16.06,0.533,44.1%,62.5%,61.2%,45.5%
0,Baseline,fALFF,C.1,Random Forest,BASC444,0.009,15.93,0.533,44.1%,62.5%,61.2%,45.5%
0,Baseline,fALFF,C.1,Random Forest,Schaefer,-0.067,16.53,0.528,43.8%,62.0%,63.3%,42.4%
0,Baseline,fALFF,C.2,ElasticNet,BASC197,0.065,15.47,0.661,66.7%,70.7%,83.7%,48.5%
0,Baseline,fALFF,C.2,ElasticNet,BASC444,0.104,15.15,0.721,71.4%,75.9%,83.7%,60.6%
0,Baseline,fALFF,C.2,ElasticNet,Schaefer,-0.007,16.06,0.63,59.3%,69.1%,77.6%,48.5%
0,Baseline,fALFF,C.2,Gradient Boosting,BASC197,0.254,13.82,0.716,63.9%,78.3%,73.5%,69.7%
0,Baseline,fALFF,C.2,Gradient Boosting,BASC444,0.325,13.15,0.757,77.8%,78.2%,87.8%,63.6%
0,Baseline,fALFF,C.2,Gradient Boosting,Schaefer,0.048,15.61,0.65,57.1%,72.3%,69.4%,60.6%
0,Baseline,fALFF,C.2,SVM,BASC197,-0.437,19.18,0.544,47.8%,62.7%,75.5%,33.3%
0,Baseline,fALFF,C.2,SVM,BASC444,-0.176,17.35,0.57,52.2%,64.4%,77.6%,36.4%
0,Baseline,fALFF,C.2,SVM,Schaefer,-0.758,21.22,0.545,50.0%,62.5%,81.6%,27.3%
0,Baseline,fALFF,C.2,Random Forest,BASC197,0.16,14.66,0.645,57.6%,71.4%,71.4%,57.6%
0,Baseline,fALFF,C.2,Random Forest,BASC444,0.174,14.54,0.706,65.6%,76.0%,77.6%,63.6%
0,Baseline,fALFF,C.2,Random Forest,Schaefer,0.051,15.59,0.574,50.0%,65.4%,69.4%,45.5%
0,Baseline,fALFF,D.1,ElasticNet,BASC197,-0.107,16.84,0.529,45.5%,61.7%,75.5%,30.3%
0,Baseline,fALFF,D.1,ElasticNet,BASC444,-0.03,16.24,0.584,51.7%,66.0%,71.4%,45.5%
0,Baseline,fALFF,D.1,ElasticNet,Schaefer,0.04,15.68,0.478,37.5%,58.0%,59.2%,36.4%
0,Baseline,fALFF,D.1,Gradient Boosting,BASC197,0.111,15.09,0.488,38.5%,58.9%,67.3%,30.3%
0,Baseline,fALFF,D.1,Gradient Boosting,BASC444,-0.018,16.15,0.594,51.5%,67.3%,67.3%,51.5%
0,Baseline,fALFF,D.1,Gradient Boosting,Schaefer,-0.043,16.34,0.544,45.5%,63.3%,63.3%,45.5%
0,Baseline,fALFF,D.1,SVM,BASC197,-0.204,17.56,0.56,57.1%,63.2%,87.8%,24.2%
0,Baseline,fALFF,D.1,SVM,BASC444,-0.147,17.14,0.514,42.9%,60.7%,75.5%,27.3%
0,Baseline,fALFF,D.1,SVM,Schaefer,-0.713,20.94,0.514,43.8%,60.6%,81.6%,21.2%
0,Baseline,fALFF,D.1,Random Forest,BASC197,0.053,15.58,0.585,54.2%,65.5%,77.6%,39.4%
0,Baseline,fALFF,D.1,Random Forest,BASC444,-0.015,16.12,0.498,40.0%,59.6%,63.3%,36.4%
0,Baseline,fALFF,D.1,Random Forest,Schaefer,-0.034,16.27,0.513,41.9%,60.8%,63.3%,39.4%
0,Baseline,fALFF,D.2,ElasticNet,BASC197,-0.041,16.33,0.514,42.9%,60.7%,75.5%,27.3%
0,Baseline,fALFF,D.2,ElasticNet,BASC444,-0.029,16.23,0.584,51.7%,66.0%,71.4%,45.5%
0,Baseline,fALFF,D.2,ElasticNet,Schaefer,0.048,15.61,0.488,38.7%,58.8%,61.2%,36.4%
0,Baseline,fALFF,D.2,Gradient Boosting,BASC197,0.11,15.1,0.488,38.5%,58.9%,67.3%,30.3%
0,Baseline,fALFF,D.2,Gradient Boosting,BASC444,-0.018,16.14,0.605,53.1%,68.0%,69.4%,51.5%
0,Baseline,fALFF,D.2,Gradient Boosting,Schaefer,-0.043,16.34,0.544,45.5%,63.3%,63.3%,45.5%
0,Baseline,fALFF,D.2,SVM,BASC197,-0.243,17.84,0.524,46.7%,61.2%,83.7%,21.2%
0,Baseline,fALFF,D.2,SVM,BASC444,-0.177,17.36,0.489,38.1%,59.0%,73.5%,24.2%
0,Baseline,fALFF,D.2,SVM,Schaefer,-0.759,21.23,0.479,35.3%,58.5%,77.6%,18.2%
0,Baseline,fALFF,D.2,Random Forest,BASC197,0.055,15.55,0.549,48.0%,63.2%,73.5%,36.4%
0,Baseline,fALFF,D.2,Random Forest,BASC444,-0.004,16.04,0.574,50.0%,65.4%,69.4%,45.5%
0,Baseline,fALFF,D.2,Random Forest,Schaefer,-0.04,16.32,0.468,35.7%,57.4%,63.3%,30.3%
0,Baseline,fALFF,D.3,ElasticNet,/,0.075,15.39,0.569,48.5%,65.3%,65.3%,48.5%
0,Baseline,fALFF,D.3,Gradient Boosting,/,0.011,15.91,0.569,47.4%,65.9%,59.2%,54.5%
0,Baseline,fALFF,D.3,SVM,/,-0.341,18.53,0.463,33.3%,57.4%,71.4%,21.2%
0,Baseline,fALFF,D.3,Random Forest,/,0.116,15.05,0.599,50.0%,69.0%,59.2%,60.6%
0,Baseline,fALFF,D.4,ElasticNet,BASC197,-0.179,17.37,0.469,30.8%,58.0%,81.6%,12.1%
0,Baseline,fALFF,D.4,ElasticNet,BASC444,-0.067,16.53,0.575,52.0%,64.9%,75.5%,39.4%
0,Baseline,fALFF,D.4,ElasticNet,Schaefer,-0.069,16.55,0.464,16.7%,57.9%,89.8%,3.0%
0,Baseline,fALFF,D.4,Gradient Boosting,BASC197,0.001,15.99,0.498,40.0%,59.6%,69.4%,30.3%
0,Baseline,fALFF,D.4,Gradient Boosting,BASC444,-0.002,16.02,0.564,48.4%,64.7%,67.3%,45.5%
0,Baseline,fALFF,D.4,Gradient Boosting,Schaefer,-0.02,16.16,0.483,37.5%,58.6%,69.4%,27.3%
0,Baseline,fALFF,D.4,SVM,BASC197,-0.329,18.45,0.499,40.0%,59.7%,75.5%,24.2%
0,Baseline,fALFF,D.4,SVM,BASC444,-0.145,17.12,0.554,50.0%,63.3%,77.6%,33.3%
0,Baseline,fALFF,D.4,SVM,Schaefer,-0.882,21.95,0.464,27.3%,57.7%,83.7%,9.1%
0,Baseline,fALFF,D.4,Random Forest,BASC197,0.031,15.75,0.559,50.0%,63.8%,75.5%,36.4%
0,Baseline,fALFF,D.4,Random Forest,BASC444,-0.007,16.06,0.524,44.0%,61.4%,71.4%,33.3%
0,Baseline,fALFF,D.4,Random Forest,Schaefer,-0.049,16.39,0.442,32.1%,55.6%,61.2%,27.3%
0,Baseline,ReHo,original,Gradient Boosting,Schaefer,0.304,13.415,0.674,59.4%,75.0%,73.5%,61.3%
0,Baseline,ReHo,Default,ElasticNet,BASC197,0.057,15.54,0.595,53.6%,66.7%,73.5%,45.5%
0,Baseline,ReHo,Default,ElasticNet,BASC444,0.117,15.04,0.66,58.8%,72.9%,71.4%,60.6%
0,Baseline,ReHo,Default,ElasticNet,Schaefer,0.124,14.98,0.716,63.9%,78.3%,73.5%,69.7%
0,Baseline,ReHo,Default,Gradient Boosting,BASC197,0.028,15.78,0.651,64.0%,70.2%,81.6%,48.5%
0,Baseline,ReHo,Default,Gradient Boosting,BASC444,0.027,15.78,0.635,55.9%,70.8%,69.4%,57.6%
0,Baseline,ReHo,Default,Gradient Boosting,Schaefer,-0.102,16.8,0.493,39.3%,59.3%,65.3%,33.3%
0,Baseline,ReHo,Default,SVM,BASC197,-0.4,18.94,0.56,52.6%,63.5%,81.6%,30.3%
0,Baseline,ReHo,Default,SVM,BASC444,-0.152,17.18,0.62,57.1%,68.5%,75.5%,48.5%
0,Baseline,ReHo,Default,SVM,Schaefer,-0.3,18.24,0.6,66.7%,65.7%,89.8%,30.3%
0,Baseline,ReHo,Default,Random Forest,BASC197,0.022,15.82,0.549,48.0%,63.2%,73.5%,36.4%
0,Baseline,ReHo,Default,Random Forest,BASC444,0.099,15.19,0.65,60.0%,71.2%,75.5%,54.5%
0,Baseline,ReHo,Default,Random Forest,Schaefer,0.024,15.81,0.579,50.0%,66.0%,67.3%,48.5%
0,Baseline,ReHo,A.1,ElasticNet,BASC197,0.066,15.0,0.66,63.2%,70.3%,76.3%,55.8%
0,Baseline,ReHo,A.1,ElasticNet,BASC444,0.065,15.0,0.633,56.5%,69.6%,66.1%,60.5%
0,Baseline,ReHo,A.1,ElasticNet,Schaefer,0.04,15.2,0.63,56.8%,69.0%,67.8%,58.1%
0,Baseline,ReHo,A.1,Gradient Boosting,BASC197,-0.009,15.58,0.589,52.3%,65.5%,64.4%,53.5%
0,Baseline,ReHo,A.1,Gradient Boosting,BASC444,-0.011,15.6,0.641,57.8%,70.2%,67.8%,60.5%
0,Baseline,ReHo,A.1,Gradient Boosting,Schaefer,0.081,14.87,0.606,54.8%,66.7%,67.8%,53.5%
0,Baseline,ReHo,A.1,SVM,BASC197,-0.403,18.37,0.534,53.3%,59.8%,88.1%,18.6%
0,Baseline,ReHo,A.1,SVM,BASC444,-0.245,17.31,0.616,62.1%,65.8%,81.4%,41.9%
0,Baseline,ReHo,A.1,SVM,Schaefer,-0.268,17.47,0.633,66.7%,66.7%,84.7%,41.9%
0,Baseline,ReHo,A.1,Random Forest,BASC197,0.08,14.88,0.647,59.5%,70.0%,71.2%,58.1%
0,Baseline,ReHo,A.1,Random Forest,BASC444,0.101,14.71,0.601,53.3%,66.7%,64.4%,55.8%
0,Baseline,ReHo,A.1,Random Forest,Schaefer,0.134,14.44,0.652,61.5%,69.8%,74.6%,55.8%
0,Baseline,ReHo,B.1,ElasticNet,BASC197,0.05,15.59,0.61,55.2%,67.9%,73.5%,48.5%
0,Baseline,ReHo,B.1,ElasticNet,BASC444,0.112,15.08,0.64,55.6%,71.7%,67.3%,60.6%
0,Baseline,ReHo,B.1,ElasticNet,Schaefer,0.143,14.81,0.716,63.9%,78.3%,73.5%,69.7%
0,Baseline,ReHo,B.1,Gradient Boosting,BASC197,-0.04,16.31,0.579,51.9%,65.5%,73.5%,42.4%
0,Baseline,ReHo,B.1,Gradient Boosting,BASC444,-0.025,16.2,0.65,57.1%,72.3%,69.4%,60.6%
0,Baseline,ReHo,B.1,Gradient Boosting,Schaefer,-0.132,17.03,0.504,40.9%,60.0%,73.5%,27.3%
0,Baseline,ReHo,B.1,SVM,BASC197,-0.375,18.76,0.56,52.6%,63.5%,81.6%,30.3%
0,Baseline,ReHo,B.1,SVM,BASC444,-0.157,17.21,0.625,60.0%,68.4%,79.6%,45.5%
0,Baseline,ReHo,B.1,SVM,Schaefer,-0.304,18.28,0.6,66.7%,65.7%,89.8%,30.3%
0,Baseline,ReHo,B.1,Random Forest,BASC197,0.112,15.08,0.625,60.0%,68.4%,79.6%,45.5%
0,Baseline,ReHo,B.1,Random Forest,BASC444,0.122,14.99,0.666,65.4%,71.4%,81.6%,51.5%
0,Baseline,ReHo,B.1,Random Forest,Schaefer,0.01,15.92,0.569,48.5%,65.3%,65.3%,48.5%
0,Baseline,ReHo,B.2,ElasticNet,BASC197,0.036,15.71,0.62,57.1%,68.5%,75.5%,48.5%
0,Baseline,ReHo,B.2,ElasticNet,BASC444,0.065,15.47,0.609,52.9%,68.8%,67.3%,54.5%
0,Baseline,ReHo,B.2,ElasticNet,Schaefer,0.113,15.07,0.675,57.5%,76.2%,65.3%,69.7%
0,Baseline,ReHo,B.2,Gradient Boosting,BASC197,-0.038,16.3,0.63,63.6%,68.3%,83.7%,42.4%
0,Baseline,ReHo,B.2,Gradient Boosting,BASC444,-0.024,16.19,0.645,57.6%,71.4%,71.4%,57.6%
0,Baseline,ReHo,B.2,Gradient Boosting,Schaefer,0.014,15.89,0.65,60.0%,71.2%,75.5%,54.5%
0,Baseline,ReHo,B.2,SVM,BASC197,-0.367,18.71,0.57,55.6%,64.1%,83.7%,30.3%
0,Baseline,ReHo,B.2,SVM,BASC444,-0.201,17.54,0.59,53.8%,66.1%,75.5%,42.4%
0,Baseline,ReHo,B.2,SVM,Schaefer,-0.29,18.17,0.565,52.4%,63.9%,79.6%,33.3%
0,Baseline,ReHo,B.2,Random Forest,BASC197,0.013,15.9,0.549,46.7%,63.5%,67.3%,42.4%
0,Baseline,ReHo,B.2,Random Forest,BASC444,0.097,15.2,0.63,59.3%,69.1%,77.6%,48.5%
0,Baseline,ReHo,B.2,Random Forest,Schaefer,0.089,15.27,0.605,53.1%,68.0%,69.4%,51.5%
0,Baseline,ReHo,B.3,ElasticNet,BASC197,-0.02,16.16,0.589,50.0%,67.4%,63.3%,54.5%
0,Baseline,ReHo,B.3,ElasticNet,BASC444,0.215,14.18,0.696,63.6%,75.5%,75.5%,63.6%
0,Baseline,ReHo,B.3,ElasticNet,Schaefer,-0.038,16.31,0.402,25.9%,52.7%,59.2%,21.2%
0,Baseline,ReHo,B.3,Gradient Boosting,BASC197,-0.064,16.51,0.493,39.3%,59.3%,65.3%,33.3%
0,Baseline,ReHo,B.3,Gradient Boosting,BASC444,-0.149,17.15,0.473,36.7%,57.7%,61.2%,33.3%
0,Baseline,ReHo,B.3,Gradient Boosting,Schaefer,-0.078,16.61,0.478,37.5%,58.0%,59.2%,36.4%
0,Baseline,ReHo,B.3,SVM,BASC197,-0.471,19.41,0.509,42.1%,60.3%,77.6%,24.2%
0,Baseline,ReHo,B.3,SVM,BASC444,-0.284,18.13,0.514,42.3%,60.7%,69.4%,33.3%
0,Baseline,ReHo,B.3,SVM,Schaefer,-0.638,20.48,0.464,31.2%,57.6%,77.6%,15.2%
0,Baseline,ReHo,B.3,Random Forest,BASC197,-0.053,16.42,0.524,43.3%,61.5%,65.3%,39.4%
0,Baseline,ReHo,B.3,Random Forest,BASC444,-0.018,16.15,0.549,45.7%,63.8%,61.2%,48.5%
0,Baseline,ReHo,B.3,Random Forest,Schaefer,-0.149,17.16,0.391,27.3%,51.0%,51.0%,27.3%
0,Baseline,ReHo,C.1,ElasticNet,BASC197,0.087,15.29,0.615,54.8%,68.6%,71.4%,51.5%
0,Baseline,ReHo,C.1,ElasticNet,BASC444,0.118,15.03,0.645,60.7%,70.4%,77.6%,51.5%
0,Baseline,ReHo,C.1,ElasticNet,Schaefer,0.099,15.19,0.676,63.3%,73.1%,77.6%,57.6%
0,Baseline,ReHo,C.1,Gradient Boosting,BASC197,0.003,15.98,0.559,47.1%,64.6%,63.3%,48.5%
0,Baseline,ReHo,C.1,Gradient Boosting,BASC444,0.374,12.66,0.731,68.8%,78.0%,79.6%,66.7%
0,Baseline,ReHo,C.1,Gradient Boosting,Schaefer,0.298,13.41,0.772,72.7%,81.6%,81.6%,72.7%
0,Baseline,ReHo,C.1,SVM,BASC197,-0.375,18.76,0.55,53.3%,62.7%,85.7%,24.2%
0,Baseline,ReHo,C.1,SVM,BASC444,-0.204,17.56,0.636,68.4%,68.3%,87.8%,39.4%
0,Baseline,ReHo,C.1,SVM,Schaefer,-0.491,19.54,0.57,61.5%,63.8%,89.8%,24.2%
0,Baseline,ReHo,C.1,Random Forest,BASC197,0.067,15.45,0.529,44.4%,61.8%,69.4%,36.4%
0,Baseline,ReHo,C.1,Random Forest,BASC444,0.172,14.56,0.615,57.7%,67.9%,77.6%,45.5%
0,Baseline,ReHo,C.1,Random Forest,Schaefer,0.285,13.53,0.726,70.0%,76.9%,81.6%,63.6%
0,Baseline,ReHo,D.1,ElasticNet,BASC197,0.085,15.3,0.67,60.6%,73.5%,73.5%,60.6%
0,Baseline,ReHo,D.1,ElasticNet,BASC444,0.113,15.07,0.67,60.6%,73.5%,73.5%,60.6%
0,Baseline,ReHo,D.1,ElasticNet,Schaefer,0.107,15.12,0.706,62.2%,77.8%,71.4%,69.7%
0,Baseline,ReHo,D.1,Gradient Boosting,BASC197,0.035,15.72,0.635,62.5%,69.0%,81.6%,45.5%
0,Baseline,ReHo,D.1,Gradient Boosting,BASC444,-0.067,16.53,0.66,58.8%,72.9%,71.4%,60.6%
0,Baseline,ReHo,D.1,Gradient Boosting,Schaefer,-0.086,16.67,0.498,40.0%,59.6%,69.4%,30.3%
0,Baseline,ReHo,D.1,SVM,BASC197,-0.327,18.43,0.57,55.6%,64.1%,83.7%,30.3%
0,Baseline,ReHo,D.1,SVM,BASC444,-0.112,16.87,0.64,61.5%,69.6%,79.6%,48.5%
0,Baseline,ReHo,D.1,SVM,Schaefer,-0.325,18.42,0.595,61.1%,65.6%,85.7%,33.3%
0,Baseline,ReHo,D.1,Random Forest,BASC197,0.019,15.85,0.6,56.0%,66.7%,77.6%,42.4%
0,Baseline,ReHo,D.1,Random Forest,BASC444,0.102,15.16,0.625,56.7%,69.2%,73.5%,51.5%
0,Baseline,ReHo,D.1,Random Forest,Schaefer,-0.002,16.02,0.519,42.9%,61.1%,67.3%,36.4%
0,Baseline,ReHo,D.2,ElasticNet,BASC197,0.067,15.45,0.625,56.7%,69.2%,73.5%,51.5%
0,Baseline,ReHo,D.2,ElasticNet,BASC444,0.116,15.04,0.66,58.8%,72.9%,71.4%,60.6%
0,Baseline,ReHo,D.2,ElasticNet,Schaefer,0.124,14.98,0.716,63.9%,78.3%,73.5%,69.7%
0,Baseline,ReHo,D.2,Gradient Boosting,BASC197,0.04,15.68,0.625,60.0%,68.4%,79.6%,45.5%
0,Baseline,ReHo,D.2,Gradient Boosting,BASC444,-0.057,16.45,0.66,58.8%,72.9%,71.4%,60.6%
0,Baseline,ReHo,D.2,Gradient Boosting,Schaefer,-0.094,16.73,0.498,40.0%,59.6%,69.4%,30.3%
0,Baseline,ReHo,D.2,SVM,BASC197,-0.387,18.84,0.56,52.6%,63.5%,81.6%,30.3%
0,Baseline,ReHo,D.2,SVM,BASC444,-0.146,17.13,0.62,57.1%,68.5%,75.5%,48.5%
0,Baseline,ReHo,D.2,SVM,Schaefer,-0.304,18.28,0.6,66.7%,65.7%,89.8%,30.3%
0,Baseline,ReHo,D.2,Random Forest,BASC197,0.028,15.78,0.575,52.0%,64.9%,75.5%,39.4%
0,Baseline,ReHo,D.2,Random Forest,BASC444,0.113,15.07,0.66,62.1%,71.7%,77.6%,54.5%
0,Baseline,ReHo,D.2,Random Forest,Schaefer,0.022,15.82,0.559,48.3%,64.2%,69.4%,42.4%
0,Baseline,ReHo,D.3,ElasticNet,/,0.075,15.39,0.569,48.5%,65.3%,65.3%,48.5%
0,Baseline,ReHo,D.3,Gradient Boosting,/,0.011,15.91,0.569,47.4%,65.9%,59.2%,54.5%
0,Baseline,ReHo,D.3,SVM,/,-0.341,18.53,0.463,33.3%,57.4%,71.4%,21.2%
0,Baseline,ReHo,D.3,Random Forest,/,0.116,15.05,0.599,50.0%,69.0%,59.2%,60.6%
0,Baseline,ReHo,D.4,ElasticNet,BASC197,0.09,15.27,0.655,59.4%,72.0%,73.5%,57.6%
0,Baseline,ReHo,D.4,ElasticNet,BASC444,0.118,15.03,0.67,60.6%,73.5%,73.5%,60.6%
0,Baseline,ReHo,D.4,ElasticNet,Schaefer,0.112,15.08,0.69,61.1%,76.1%,71.4%,66.7%
0,Baseline,ReHo,D.4,Gradient Boosting,BASC197,0.037,15.7,0.635,58.6%,69.8%,75.5%,51.5%
