,MDS-UPDRS Prediction target,Feature,Type,Best performing model,Best performing parcellation,R2,RMSE,AUC,PPV,NPV,Spec.,Sens.
1,Baseline,fALFF,original,Gradient Boosting,Schaefer,0.242,14.006,0.668,60.0%,74.0%,75.5%,58.1%
0,Baseline,fALFF,Default,ElasticNet,BASC197,-0.035,16.28,0.514,42.9%,60.7%,75.5%,27.3%
0,Baseline,fALFF,Default,ElasticNet,BASC444,-0.045,16.36,0.574,50.0%,65.4%,69.4%,45.5%
0,Baseline,fALFF,Default,ElasticNet,Schaefer,0.04,15.68,0.488,38.7%,58.8%,61.2%,36.4%
0,Baseline,fALFF,Default,Gradient Boosting,BASC197,0.205,14.26,0.584,51.7%,66.0%,71.4%,45.5%
0,Baseline,fALFF,Default,Gradient Boosting,BASC444,0.061,15.5,0.599,51.4%,68.1%,65.3%,54.5%
0,Baseline,fALFF,Default,Gradient Boosting,Schaefer,-0.039,16.31,0.493,39.4%,59.2%,59.2%,39.4%
0,Baseline,fALFF,Default,SVM,BASC197,-0.241,17.82,0.524,46.7%,61.2%,83.7%,21.2%
0,Baseline,fALFF,Default,SVM,BASC444,-0.182,17.4,0.489,38.1%,59.0%,73.5%,24.2%
0,Baseline,fALFF,Default,SVM,Schaefer,-0.718,20.97,0.489,37.5%,59.1%,79.6%,18.2%
0,Baseline,fALFF,Default,Random Forest,BASC197,0.068,15.45,0.569,50.0%,64.8%,71.4%,42.4%
0,Baseline,fALFF,Default,Random Forest,BASC444,0.02,15.84,0.584,50.0%,66.7%,65.3%,51.5%
0,Baseline,fALFF,Default,Random Forest,Schaefer,-0.024,16.19,0.518,42.4%,61.2%,61.2%,42.4%
0,Baseline,fALFF,A.1,ElasticNet,BASC197,0.051,15.11,0.624,55.3%,69.1%,64.4%,60.5%
0,Baseline,fALFF,A.1,ElasticNet,BASC444,0.049,15.13,0.599,52.0%,67.3%,59.3%,60.5%
0,Baseline,fALFF,A.1,ElasticNet,Schaefer,0.013,15.41,0.596,52.1%,66.7%,61.0%,58.1%
0,Baseline,fALFF,A.1,Gradient Boosting,BASC197,0.024,15.33,0.563,50.0%,62.9%,66.1%,46.5%
0,Baseline,fALFF,A.1,Gradient Boosting,BASC444,0.011,15.43,0.573,50.0%,64.3%,61.0%,53.5%
0,Baseline,fALFF,A.1,Gradient Boosting,Schaefer,-0.019,15.66,0.564,48.9%,63.6%,59.3%,53.5%
0,Baseline,fALFF,A.1,SVM,BASC197,-0.287,17.6,0.595,63.6%,63.7%,86.4%,32.6%
0,Baseline,fALFF,A.1,SVM,BASC444,-0.309,17.75,0.483,38.1%,56.8%,78.0%,18.6%
0,Baseline,fALFF,A.1,SVM,Schaefer,-0.7,20.23,0.502,42.9%,58.0%,86.4%,14.0%
