,MDS-UPDRS Prediction target,Feature,Type,ElasticNet,ElasticNet,ElasticNet,SVM,SVM,SVM,Gradient Boosting,Gradient Boosting,Gradient Boosting,Random Forest,Random Forest,Random Forest
,,,,Schaefer,BASC197,BASC444,Schaefer,BASC197,BASC444,Schaefer,BASC197,BASC444,Schaefer,BASC197,BASC444
0,Baseline,fALFF,Original,,,,,,,0.242,,,,,
0,Baseline,fALFF,Replication,-0.009,-0.057,-0.065,-0.807,-0.641,-0.354,-0.012,0.17,-0.055,-0.026,0.106,0.038
0,Baseline,ReHo,Original,,,,,,,0.304,,,,,
0,Baseline,ReHo,Replication,0.086,0.102,0.117,-0.425,-0.904,-0.914,-0.022,-0.013,-0.001,0.026,0.04,0.113
0,Year 1,fALFF,Original,0.558,,,,,,,,,,,
0,Year 1,fALFF,Replication,0.359,0.42,0.381,0.427,0.247,0.247,0.538,0.217,0.537,0.415,0.43,0.485
0,Year 1,ReHo,Original,0.453,,,,,,,,,,,
0,Year 1,ReHo,Replication,0.455,0.446,0.418,0.079,-0.526,-0.279,0.456,0.338,0.418,0.452,0.436,0.453
0,Year 2,fALFF,Original,0.463,,,,,,,,,,,
0,Year 2,fALFF,Replication,0.19,-0.009,0.021,-0.647,-0.326,-0.274,0.111,0.148,0.129,0.175,0.276,0.248
0,Year 2,ReHo,Original,0.471,,,,,,,,,,,
0,Year 2,ReHo,Replication,0.278,0.277,0.026,-0.131,-0.135,-0.077,-0.05,0.071,-0.044,0.189,0.16,0.089
0,Year 4,fALFF,Original,,,,,0.152,,,,,,,
0,Year 4,fALFF,Replication,0.422,0.365,0.138,-0.069,0.002,-0.19,0.438,0.417,0.294,0.359,0.345,0.23
0,Year 4,ReHo,Original,,,,,0.255,,,,,,,
0,Year 4,ReHo,Replication,0.281,0.429,0.163,-0.123,0.108,0.104,0.41,0.456,0.198,0.329,0.303,0.218
