,MDS-UPDRS Prediction target,Feature,Type,Best performing model,Best performing parcellation,R2,RMSE,AUC,PPV,NPV,Spec.,Sens.
0,Baseline,fALFF,Workflow D,Gradient Boosting,Schaefer,-0.024,16.21,0.518,42.4%,61.2%,61.2%,42.4%
0,Baseline,fALFF,Workflow D,SVM,BASC197,-0.998,22.64,0.382,7.1%,52.9%,73.5%,3.0%
0,Baseline,fALFF,Workflow D,SVM,BASC444,-0.438,19.21,0.452,34.4%,56.0%,57.1%,33.3%
0,Baseline,fALFF,Workflow D,SVM,Schaefer,-0.802,21.51,0.48,0.0%,58.8%,95.9%,0.0%
0,Baseline,fALFF,Workflow D,Random Forest,BASC197,-0.013,16.12,0.519,43.5%,61.0%,73.5%,30.3%
0,Baseline,fALFF,Workflow D,Random Forest,BASC444,0.014,15.91,0.544,45.5%,63.3%,63.3%,45.5%
0,Baseline,fALFF,Workflow D,Random Forest,Schaefer,-0.035,16.3,0.453,33.3%,56.4%,63.3%,27.3%
0,Baseline,fALFF,Workflow E,ElasticNet,BASC197,-0.046,16.38,0.443,23.1%,56.5%,79.6%,9.1%
0,Baseline,fALFF,Workflow E,ElasticNet,BASC444,-0.11,16.88,0.439,0.0%,56.6%,87.8%,0.0%
0,Baseline,fALFF,Workflow E,ElasticNet,Schaefer,-0.042,16.35,0.464,27.3%,57.7%,83.7%,9.1%
0,Baseline,fALFF,Workflow E,Gradient Boosting,BASC197,-0.086,16.7,0.412,30.6%,52.2%,49.0%,33.3%
0,Baseline,fALFF,Workflow E,Gradient Boosting,BASC444,-0.035,16.3,0.554,46.9%,64.0%,65.3%,45.5%
0,Baseline,fALFF,Workflow E,Gradient Boosting,Schaefer,-0.006,16.07,0.625,56.7%,69.2%,73.5%,51.5%
0,Baseline,fALFF,Workflow E,SVM,BASC197,-0.519,19.74,0.473,35.0%,58.1%,73.5%,21.2%
0,Baseline,fALFF,Workflow E,SVM,BASC444,-0.651,20.59,0.442,32.1%,55.6%,61.2%,27.3%
0,Baseline,fALFF,Workflow E,SVM,Schaefer,-1.069,23.04,0.387,12.5%,53.0%,71.4%,6.1%
0,Baseline,fALFF,Workflow E,Random Forest,BASC197,-0.049,16.41,0.519,42.9%,61.1%,67.3%,36.4%
0,Baseline,fALFF,Workflow E,Random Forest,BASC444,-0.033,16.29,0.488,38.7%,58.8%,61.2%,36.4%
0,Baseline,fALFF,Workflow E,Random Forest,Schaefer,-0.012,16.12,0.549,45.7%,63.8%,61.2%,48.5%
0,Baseline,fALFF,Workflow F,ElasticNet,BASC197,0.026,15.81,0.503,40.7%,60.0%,67.3%,33.3%
0,Baseline,fALFF,Workflow F,ElasticNet,BASC444,0.01,15.94,0.559,48.3%,64.2%,69.4%,42.4%
0,Baseline,fALFF,Workflow F,ElasticNet,Schaefer,0.051,15.61,0.554,46.9%,64.0%,65.3%,45.5%
0,Baseline,fALFF,Workflow F,Gradient Boosting,BASC197,-0.066,16.54,0.508,41.4%,60.4%,65.3%,36.4%
0,Baseline,fALFF,Workflow F,Gradient Boosting,BASC444,-0.054,16.45,0.508,41.4%,60.4%,65.3%,36.4%
