,MDS-UPDRS Prediction target,Feature,Type,Best performing model,Best performing parcellation,R2,RMSE,AUC,PPV,NPV,Spec.,Sens.
0,Baseline,ReHo,Workflow I,Gradient Boosting,Schaefer,-0.021,16.19,0.564,48.4%,64.7%,67.3%,45.5%
0,Baseline,ReHo,Workflow I,SVM,BASC197,-0.91,22.14,0.459,22.2%,57.5%,85.7%,6.1%
0,Baseline,ReHo,Workflow I,SVM,BASC444,-0.914,22.17,0.463,33.3%,57.4%,71.4%,21.2%
0,Baseline,ReHo,Workflow I,SVM,Schaefer,-0.424,19.12,0.646,72.2%,68.8%,89.8%,39.4%
0,Baseline,ReHo,Workflow I,Random Forest,BASC197,0.04,15.7,0.595,56.5%,66.1%,79.6%,39.4%
0,Baseline,ReHo,Workflow I,Random Forest,BASC444,0.113,15.08,0.732,74.1%,76.4%,85.7%,60.6%
0,Baseline,ReHo,Workflow I,Random Forest,Schaefer,0.026,15.81,0.544,47.8%,62.7%,75.5%,33.3%
0,Baseline,ReHo,Workflow J,ElasticNet,/,0.063,15.51,0.549,46.7%,63.5%,67.3%,42.4%
0,Baseline,ReHo,Workflow J,Gradient Boosting,/,0.041,15.69,0.594,51.5%,67.3%,67.3%,51.5%
0,Baseline,ReHo,Workflow J,SVM,/,-0.377,18.8,0.479,35.3%,58.5%,77.6%,18.2%
0,Baseline,ReHo,Workflow J,Random Forest,/,0.014,15.91,0.594,50.0%,68.2%,61.2%,57.6%
0,Baseline,ReHo,Workflow K,ElasticNet,BASC197,0.105,15.16,0.665,61.3%,72.5%,75.5%,57.6%
0,Baseline,ReHo,Workflow K,ElasticNet,BASC444,0.133,14.92,0.635,55.9%,70.8%,69.4%,57.6%
0,Baseline,ReHo,Workflow K,ElasticNet,Schaefer,0.055,15.57,0.595,53.6%,66.7%,73.5%,45.5%
0,Baseline,ReHo,Workflow K,Gradient Boosting,BASC197,-0.061,16.51,0.549,50.0%,62.9%,79.6%,30.3%
0,Baseline,ReHo,Workflow K,Gradient Boosting,BASC444,-0.001,16.03,0.645,60.7%,70.4%,77.6%,51.5%
0,Baseline,ReHo,Workflow K,Gradient Boosting,Schaefer,-0.09,16.73,0.584,51.7%,66.0%,71.4%,45.5%
0,Baseline,ReHo,Workflow K,SVM,BASC197,-0.359,18.67,0.59,57.1%,65.6%,81.6%,36.4%
0,Baseline,ReHo,Workflow K,SVM,BASC444,-0.495,19.59,0.574,50.0%,65.4%,69.4%,45.5%
0,Baseline,ReHo,Workflow K,SVM,Schaefer,-0.26,17.98,0.611,71.4%,66.2%,91.8%,30.3%
0,Baseline,ReHo,Workflow K,Random Forest,BASC197,0.029,15.79,0.554,50.0%,63.3%,77.6%,33.3%
0,Baseline,ReHo,Workflow K,Random Forest,BASC444,0.096,15.24,0.747,75.0%,77.8%,85.7%,63.6%
0,Baseline,ReHo,Workflow K,Random Forest,Schaefer,0.017,15.89,0.554,48.1%,63.6%,71.4%,39.4%
3,Year 1,fALFF,original,ElasticNet,Schaefer,0.558,14.256,0.753,70.4%,80.0%,71.4%,79.2%
0,Year 1,fALFF,"Workflow A 
 (default)",ElasticNet,BASC197,0.42,17.19,0.659,60.6%,73.7%,51.9%,80.0%
0,Year 1,fALFF,"Workflow A 
 (default)",ElasticNet,BASC444,0.381,17.75,0.584,54.3%,64.7%,40.7%,76.0%
0,Year 1,fALFF,"Workflow A 
 (default)",ElasticNet,Schaefer,0.359,18.06,0.755,68.8%,85.0%,63.0%,88.0%
0,Year 1,fALFF,"Workflow A 
 (default)",Gradient Boosting,BASC197,0.217,19.97,0.732,70.4%,76.0%,70.4%,76.0%
0,Year 1,fALFF,"Workflow A 
 (default)",Gradient Boosting,BASC444,0.537,15.35,0.752,71.4%,79.2%,70.4%,80.0%
0,Year 1,fALFF,"Workflow A 
 (default)",Gradient Boosting,Schaefer,0.538,15.34,0.772,72.4%,82.6%,70.4%,84.0%
0,Year 1,fALFF,"Workflow A 
 (default)",SVM,BASC197,0.247,19.58,0.678,62.5%,75.0%,55.6%,80.0%
0,Year 1,fALFF,"Workflow A 
 (default)",SVM,BASC444,0.247,19.59,0.661,60.0%,76.5%,48.1%,84.0%
0,Year 1,fALFF,"Workflow A 
 (default)",SVM,Schaefer,0.427,17.08,0.695,65.5%,73.9%,63.0%,76.0%
0,Year 1,fALFF,"Workflow A 
 (default)",Random Forest,BASC197,0.43,17.04,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,fALFF,"Workflow A 
 (default)",Random Forest,BASC444,0.485,16.2,0.806,82.6%,79.3%,85.2%,76.0%
0,Year 1,fALFF,"Workflow A 
 (default)",Random Forest,Schaefer,0.415,17.26,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,fALFF,Workflow B,ElasticNet,BASC197,0.449,16.33,0.706,63.4%,81.8%,54.5%,86.7%
0,Year 1,fALFF,Workflow B,ElasticNet,BASC444,0.382,17.29,0.58,53.5%,65.0%,39.4%,76.7%
0,Year 1,fALFF,Workflow B,ElasticNet,Schaefer,0.368,17.49,0.661,59.1%,78.9%,45.5%,86.7%
0,Year 1,fALFF,Workflow B,Gradient Boosting,BASC197,0.272,18.77,0.7,66.7%,73.3%,66.7%,73.3%
0,Year 1,fALFF,Workflow B,Gradient Boosting,BASC444,0.346,17.79,0.656,60.5%,72.0%,54.5%,76.7%
0,Year 1,fALFF,Workflow B,Gradient Boosting,Schaefer,0.387,17.22,0.75,69.4%,81.5%,66.7%,83.3%
0,Year 1,fALFF,Workflow B,SVM,BASC197,0.244,19.12,0.705,64.1%,79.2%,57.6%,83.3%
0,Year 1,fALFF,Workflow B,SVM,BASC444,0.271,18.78,0.629,56.8%,73.7%,42.4%,83.3%
0,Year 1,fALFF,Workflow B,SVM,Schaefer,0.407,16.94,0.686,63.9%,74.1%,60.6%,76.7%
0,Year 1,fALFF,Workflow B,Random Forest,BASC197,0.378,17.36,0.806,84.6%,78.4%,87.9%,73.3%
0,Year 1,fALFF,Workflow B,Random Forest,BASC444,0.397,17.08,0.776,78.6%,77.1%,81.8%,73.3%
0,Year 1,fALFF,Workflow B,Random Forest,Schaefer,0.379,17.34,0.791,81.5%,77.8%,84.8%,73.3%
0,Year 1,fALFF,Workflow C,ElasticNet,BASC197,0.422,17.16,0.659,60.6%,73.7%,51.9%,80.0%
0,Year 1,fALFF,Workflow C,ElasticNet,BASC444,0.406,17.39,0.619,58.1%,66.7%,51.9%,72.0%
0,Year 1,fALFF,Workflow C,ElasticNet,Schaefer,0.325,18.55,0.679,61.8%,77.8%,51.9%,84.0%
0,Year 1,fALFF,Workflow C,Gradient Boosting,BASC197,0.276,19.2,0.735,67.7%,81.0%,63.0%,84.0%
0,Year 1,fALFF,Workflow C,Gradient Boosting,BASC444,0.523,15.58,0.809,77.8%,84.0%,77.8%,84.0%
0,Year 1,fALFF,Workflow C,Gradient Boosting,Schaefer,0.411,17.32,0.753,70.0%,81.8%,66.7%,84.0%
0,Year 1,fALFF,Workflow C,SVM,BASC197,0.122,21.14,0.638,60.0%,68.2%,55.6%,72.0%
0,Year 1,fALFF,Workflow C,SVM,BASC444,0.215,20.0,0.641,58.8%,72.2%,48.1%,80.0%
0,Year 1,fALFF,Workflow C,SVM,Schaefer,0.317,18.65,0.678,62.5%,75.0%,55.6%,80.0%
0,Year 1,fALFF,Workflow C,Random Forest,BASC197,0.44,16.89,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,fALFF,Workflow C,Random Forest,BASC444,0.484,16.21,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,fALFF,Workflow C,Random Forest,Schaefer,0.398,17.51,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,fALFF,Workflow D,ElasticNet,BASC197,0.367,17.95,0.641,58.8%,72.2%,48.1%,80.0%
0,Year 1,fALFF,Workflow D,ElasticNet,BASC444,0.409,17.35,0.619,58.1%,66.7%,51.9%,72.0%
0,Year 1,fALFF,Workflow D,ElasticNet,Schaefer,0.379,17.79,0.719,63.9%,87.5%,51.9%,92.0%
0,Year 1,fALFF,Workflow D,Gradient Boosting,BASC197,0.276,19.21,0.696,64.5%,76.2%,59.3%,80.0%
0,Year 1,fALFF,Workflow D,Gradient Boosting,BASC444,0.451,16.73,0.752,71.4%,79.2%,70.4%,80.0%
0,Year 1,fALFF,Workflow D,Gradient Boosting,Schaefer,0.457,16.63,0.77,74.1%,80.0%,74.1%,80.0%
0,Year 1,fALFF,Workflow D,SVM,BASC197,0.152,20.78,0.621,57.6%,68.4%,48.1%,76.0%
0,Year 1,fALFF,Workflow D,SVM,BASC444,0.248,19.57,0.605,55.3%,71.4%,37.0%,84.0%
0,Year 1,fALFF,Workflow D,SVM,Schaefer,0.39,17.62,0.695,65.5%,73.9%,63.0%,76.0%
0,Year 1,fALFF,Workflow D,Random Forest,BASC197,0.436,16.95,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,fALFF,Workflow D,Random Forest,BASC444,0.496,16.03,0.806,82.6%,79.3%,85.2%,76.0%
0,Year 1,fALFF,Workflow D,Random Forest,Schaefer,0.4,17.48,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,fALFF,Workflow E,ElasticNet,BASC197,0.46,16.58,0.755,68.8%,85.0%,63.0%,88.0%
0,Year 1,fALFF,Workflow E,ElasticNet,BASC444,0.393,17.58,0.718,64.7%,83.3%,55.6%,88.0%
0,Year 1,fALFF,Workflow E,ElasticNet,Schaefer,0.411,17.32,0.696,64.5%,76.2%,59.3%,80.0%
0,Year 1,fALFF,Workflow E,Gradient Boosting,BASC197,0.475,16.35,0.695,65.5%,73.9%,63.0%,76.0%
0,Year 1,fALFF,Workflow E,Gradient Boosting,BASC444,0.302,18.86,0.659,60.6%,73.7%,51.9%,80.0%
0,Year 1,fALFF,Workflow E,Gradient Boosting,Schaefer,0.304,18.82,0.642,58.3%,75.0%,44.4%,84.0%
0,Year 1,fALFF,Workflow E,SVM,BASC197,-0.364,26.36,0.769,76.0%,77.8%,77.8%,76.0%
0,Year 1,fALFF,Workflow E,SVM,BASC444,-0.229,25.02,0.699,62.9%,82.4%,51.9%,88.0%
0,Year 1,fALFF,Workflow E,SVM,Schaefer,-1.18,33.32,0.724,82.4%,68.6%,88.9%,56.0%
0,Year 1,fALFF,Workflow E,Random Forest,BASC197,0.499,15.98,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,fALFF,Workflow E,Random Forest,BASC444,0.472,16.4,0.806,82.6%,79.3%,85.2%,76.0%
0,Year 1,fALFF,Workflow E,Random Forest,Schaefer,0.434,16.98,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,fALFF,Workflow F,ElasticNet,BASC197,0.452,16.7,0.678,62.5%,75.0%,55.6%,80.0%
0,Year 1,fALFF,Workflow F,ElasticNet,BASC444,0.464,16.52,0.641,58.8%,72.2%,48.1%,80.0%
0,Year 1,fALFF,Workflow F,ElasticNet,Schaefer,0.413,17.29,0.678,62.5%,75.0%,55.6%,80.0%
0,Year 1,fALFF,Workflow F,Gradient Boosting,BASC197,0.374,17.85,0.789,76.9%,80.8%,77.8%,80.0%
0,Year 1,fALFF,Workflow F,Gradient Boosting,BASC444,0.335,18.4,0.752,71.4%,79.2%,70.4%,80.0%
0,Year 1,fALFF,Workflow F,Gradient Boosting,Schaefer,0.34,18.34,0.77,74.1%,80.0%,74.1%,80.0%
0,Year 1,fALFF,Workflow F,SVM,BASC197,0.33,18.48,0.656,62.1%,69.6%,59.3%,72.0%
0,Year 1,fALFF,Workflow F,SVM,BASC444,0.35,18.2,0.698,63.6%,78.9%,55.6%,84.0%
0,Year 1,fALFF,Workflow F,SVM,Schaefer,0.408,17.37,0.772,72.4%,82.6%,70.4%,84.0%
0,Year 1,fALFF,Workflow F,Random Forest,BASC197,0.421,17.17,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,fALFF,Workflow F,Random Forest,BASC444,0.405,17.4,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,fALFF,Workflow F,Random Forest,Schaefer,0.422,17.16,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,fALFF,Workflow G,ElasticNet,BASC197,0.447,16.78,0.735,67.7%,81.0%,63.0%,84.0%
0,Year 1,fALFF,Workflow G,ElasticNet,BASC444,0.356,18.11,0.735,67.7%,81.0%,63.0%,84.0%
0,Year 1,fALFF,Workflow G,ElasticNet,Schaefer,0.445,16.82,0.807,80.0%,81.5%,81.5%,80.0%
0,Year 1,fALFF,Workflow G,Gradient Boosting,BASC197,0.252,19.52,0.809,77.8%,84.0%,77.8%,84.0%
0,Year 1,fALFF,Workflow G,Gradient Boosting,BASC444,0.189,20.33,0.755,68.8%,85.0%,63.0%,88.0%
0,Year 1,fALFF,Workflow G,Gradient Boosting,Schaefer,0.258,19.45,0.792,73.3%,86.4%,70.4%,88.0%
0,Year 1,fALFF,Workflow G,SVM,BASC197,0.274,19.22,0.678,62.5%,75.0%,55.6%,80.0%
0,Year 1,fALFF,Workflow G,SVM,BASC444,0.002,22.55,0.578,55.6%,60.0%,55.6%,60.0%
0,Year 1,fALFF,Workflow G,SVM,Schaefer,0.018,22.36,0.616,59.3%,64.0%,59.3%,64.0%
0,Year 1,fALFF,Workflow G,Random Forest,BASC197,0.406,17.39,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,fALFF,Workflow G,Random Forest,BASC444,0.394,17.57,0.806,82.6%,79.3%,85.2%,76.0%
0,Year 1,fALFF,Workflow G,Random Forest,Schaefer,0.382,17.74,0.806,82.6%,79.3%,85.2%,76.0%
0,Year 1,fALFF,Workflow H,ElasticNet,BASC197,0.423,17.15,0.659,60.6%,73.7%,51.9%,80.0%
0,Year 1,fALFF,Workflow H,ElasticNet,BASC444,0.387,17.67,0.584,54.3%,64.7%,40.7%,76.0%
0,Year 1,fALFF,Workflow H,ElasticNet,Schaefer,0.398,17.51,0.755,68.8%,85.0%,63.0%,88.0%
0,Year 1,fALFF,Workflow H,Gradient Boosting,BASC197,0.212,20.04,0.732,70.4%,76.0%,70.4%,76.0%
0,Year 1,fALFF,Workflow H,Gradient Boosting,BASC444,0.537,15.35,0.752,71.4%,79.2%,70.4%,80.0%
0,Year 1,fALFF,Workflow H,Gradient Boosting,Schaefer,0.541,15.3,0.772,72.4%,82.6%,70.4%,84.0%
0,Year 1,fALFF,Workflow H,SVM,BASC197,0.257,19.46,0.658,61.3%,71.4%,55.6%,76.0%
0,Year 1,fALFF,Workflow H,SVM,BASC444,0.255,19.48,0.642,58.3%,75.0%,44.4%,84.0%
0,Year 1,fALFF,Workflow H,SVM,Schaefer,0.48,16.28,0.658,61.3%,71.4%,55.6%,76.0%
0,Year 1,fALFF,Workflow H,Random Forest,BASC197,0.438,16.92,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,fALFF,Workflow H,Random Forest,BASC444,0.487,16.16,0.806,82.6%,79.3%,85.2%,76.0%
0,Year 1,fALFF,Workflow H,Random Forest,Schaefer,0.419,17.2,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,fALFF,Workflow I,ElasticNet,BASC197,0.0,22.57,0.568,52.5%,66.7%,29.6%,84.0%
0,Year 1,fALFF,Workflow I,ElasticNet,BASC444,0.022,22.32,0.53,50.0%,58.3%,25.9%,80.0%
0,Year 1,fALFF,Workflow I,ElasticNet,Schaefer,-0.029,22.89,0.551,51.2%,66.7%,22.2%,88.0%
0,Year 1,fALFF,Workflow I,Gradient Boosting,BASC197,-0.076,23.41,0.357,39.0%,18.2%,7.4%,64.0%
0,Year 1,fALFF,Workflow I,Gradient Boosting,BASC444,0.143,20.89,0.616,59.3%,64.0%,59.3%,64.0%
0,Year 1,fALFF,Workflow I,Gradient Boosting,Schaefer,-0.072,23.36,0.604,55.6%,68.8%,40.7%,80.0%
0,Year 1,fALFF,Workflow I,SVM,BASC197,-0.098,23.65,0.581,54.8%,61.9%,48.1%,68.0%
0,Year 1,fALFF,Workflow I,SVM,BASC444,0.107,21.33,0.624,56.8%,73.3%,40.7%,84.0%
0,Year 1,fALFF,Workflow I,SVM,Schaefer,-0.524,27.86,0.539,51.9%,56.0%,51.9%,56.0%
0,Year 1,fALFF,Workflow I,Random Forest,BASC197,-0.016,22.74,0.493,47.6%,50.0%,18.5%,80.0%
0,Year 1,fALFF,Workflow I,Random Forest,BASC444,0.07,21.76,0.55,51.2%,63.6%,25.9%,84.0%
0,Year 1,fALFF,Workflow I,Random Forest,Schaefer,-0.057,23.2,0.476,46.7%,42.9%,11.1%,84.0%
0,Year 1,fALFF,Workflow J,ElasticNet,/,0.405,17.41,0.678,62.5%,75.0%,55.6%,80.0%
0,Year 1,fALFF,Workflow J,Gradient Boosting,/,0.323,18.57,0.715,66.7%,77.3%,63.0%,80.0%
0,Year 1,fALFF,Workflow J,SVM,/,0.378,17.8,0.73,72.0%,74.1%,74.1%,72.0%
0,Year 1,fALFF,Workflow J,Random Forest,/,0.439,16.9,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,fALFF,Workflow K,ElasticNet,BASC197,-0.127,23.96,0.459,45.8%,25.0%,3.7%,88.0%
0,Year 1,fALFF,Workflow K,ElasticNet,BASC444,0.051,21.99,0.49,47.4%,50.0%,25.9%,72.0%
0,Year 1,fALFF,Workflow K,ElasticNet,Schaefer,-0.154,24.24,0.436,44.2%,33.3%,11.1%,76.0%
0,Year 1,fALFF,Workflow K,Gradient Boosting,BASC197,-0.066,23.3,0.377,40.5%,20.0%,7.4%,68.0%
0,Year 1,fALFF,Workflow K,Gradient Boosting,BASC444,0.135,20.99,0.598,57.1%,62.5%,55.6%,64.0%
0,Year 1,fALFF,Workflow K,Gradient Boosting,Schaefer,-0.063,23.27,0.604,55.6%,68.8%,40.7%,80.0%
0,Year 1,fALFF,Workflow K,SVM,BASC197,-0.424,26.93,0.482,46.4%,50.0%,44.4%,52.0%
0,Year 1,fALFF,Workflow K,SVM,BASC444,0.067,21.8,0.524,50.0%,55.0%,40.7%,64.0%
0,Year 1,fALFF,Workflow K,SVM,Schaefer,-0.595,28.5,0.479,45.8%,50.0%,51.9%,44.0%
0,Year 1,fALFF,Workflow K,Random Forest,BASC197,-0.006,22.63,0.493,47.6%,50.0%,18.5%,80.0%
0,Year 1,fALFF,Workflow K,Random Forest,BASC444,0.093,21.49,0.55,51.2%,63.6%,25.9%,84.0%
0,Year 1,fALFF,Workflow K,Random Forest,Schaefer,-0.087,23.53,0.494,47.7%,50.0%,14.8%,84.0%
2,Year 1,ReHo,original,ElasticNet,Schaefer,0.453,15.861,0.753,70.4%,80.0%,71.4%,79.2%
0,Year 1,ReHo,"Workflow A 
 (default)",ElasticNet,BASC197,0.446,16.8,0.676,63.3%,72.7%,59.3%,76.0%
0,Year 1,ReHo,"Workflow A 
 (default)",ElasticNet,BASC444,0.418,17.22,0.621,57.6%,68.4%,48.1%,76.0%
0,Year 1,ReHo,"Workflow A 
 (default)",ElasticNet,Schaefer,0.455,16.66,0.639,59.4%,70.0%,51.9%,76.0%
0,Year 1,ReHo,"Workflow A 
 (default)",Gradient Boosting,BASC197,0.338,18.36,0.773,71.0%,85.7%,66.7%,88.0%
0,Year 1,ReHo,"Workflow A 
 (default)",Gradient Boosting,BASC444,0.418,17.21,0.77,74.1%,80.0%,74.1%,80.0%
0,Year 1,ReHo,"Workflow A 
 (default)",Gradient Boosting,Schaefer,0.456,16.64,0.732,70.4%,76.0%,70.4%,76.0%
0,Year 1,ReHo,"Workflow A 
 (default)",SVM,BASC197,-0.526,27.88,0.573,57.1%,58.1%,66.7%,48.0%
0,Year 1,ReHo,"Workflow A 
 (default)",SVM,BASC444,-0.279,25.52,0.598,57.1%,62.5%,55.6%,64.0%
0,Year 1,ReHo,"Workflow A 
 (default)",SVM,Schaefer,0.079,21.65,0.656,62.1%,69.6%,59.3%,72.0%
0,Year 1,ReHo,"Workflow A 
 (default)",Random Forest,BASC197,0.436,16.94,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,ReHo,"Workflow A 
 (default)",Random Forest,BASC444,0.453,16.69,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,ReHo,"Workflow A 
 (default)",Random Forest,Schaefer,0.452,16.7,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,ReHo,Workflow B,ElasticNet,BASC197,0.453,16.27,0.703,64.9%,76.9%,60.6%,80.0%
0,Year 1,ReHo,Workflow B,ElasticNet,BASC444,0.446,16.38,0.688,63.2%,76.0%,57.6%,80.0%
0,Year 1,ReHo,Workflow B,ElasticNet,Schaefer,0.477,15.9,0.72,65.8%,80.0%,60.6%,83.3%
0,Year 1,ReHo,Workflow B,Gradient Boosting,BASC197,0.262,18.9,0.795,75.8%,83.3%,75.8%,83.3%
0,Year 1,ReHo,Workflow B,Gradient Boosting,BASC444,0.329,18.02,0.764,72.7%,80.0%,72.7%,80.0%
0,Year 1,ReHo,Workflow B,Gradient Boosting,Schaefer,0.25,19.05,0.73,71.0%,75.0%,72.7%,73.3%
0,Year 1,ReHo,Workflow B,SVM,BASC197,-0.288,24.97,0.588,56.2%,61.3%,57.6%,60.0%
0,Year 1,ReHo,Workflow B,SVM,BASC444,-0.137,23.46,0.605,57.6%,63.3%,57.6%,63.3%
0,Year 1,ReHo,Workflow B,SVM,Schaefer,0.217,19.47,0.639,59.5%,69.2%,54.5%,73.3%
0,Year 1,ReHo,Workflow B,Random Forest,BASC197,0.389,17.2,0.806,84.6%,78.4%,87.9%,73.3%
0,Year 1,ReHo,Workflow B,Random Forest,BASC444,0.38,17.32,0.792,79.3%,79.4%,81.8%,76.7%
0,Year 1,ReHo,Workflow B,Random Forest,Schaefer,0.406,16.95,0.791,81.5%,77.8%,84.8%,73.3%
0,Year 1,ReHo,Workflow C,ElasticNet,BASC197,0.461,16.57,0.658,61.3%,71.4%,55.6%,76.0%
0,Year 1,ReHo,Workflow C,ElasticNet,BASC444,0.417,17.23,0.619,58.1%,66.7%,51.9%,72.0%
0,Year 1,ReHo,Workflow C,ElasticNet,Schaefer,0.465,16.51,0.658,61.3%,71.4%,55.6%,76.0%
0,Year 1,ReHo,Workflow C,Gradient Boosting,BASC197,0.302,18.86,0.733,69.0%,78.3%,66.7%,80.0%
0,Year 1,ReHo,Workflow C,Gradient Boosting,BASC444,0.39,17.63,0.77,74.1%,80.0%,74.1%,80.0%
0,Year 1,ReHo,Workflow C,Gradient Boosting,Schaefer,0.378,17.79,0.732,70.4%,76.0%,70.4%,76.0%
0,Year 1,ReHo,Workflow C,SVM,BASC197,-0.537,27.98,0.593,59.1%,60.0%,66.7%,52.0%
0,Year 1,ReHo,Workflow C,SVM,BASC444,-0.277,25.5,0.635,61.5%,65.4%,63.0%,64.0%
0,Year 1,ReHo,Workflow C,SVM,Schaefer,0.022,22.32,0.656,62.1%,69.6%,59.3%,72.0%
0,Year 1,ReHo,Workflow C,Random Forest,BASC197,0.435,16.97,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,ReHo,Workflow C,Random Forest,BASC444,0.425,17.11,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,ReHo,Workflow C,Random Forest,Schaefer,0.46,16.58,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,ReHo,Workflow D,ElasticNet,BASC197,0.46,16.58,0.656,62.1%,69.6%,59.3%,72.0%
0,Year 1,ReHo,Workflow D,ElasticNet,BASC444,0.415,17.26,0.658,61.3%,71.4%,55.6%,76.0%
0,Year 1,ReHo,Workflow D,ElasticNet,Schaefer,0.454,16.68,0.675,64.3%,70.8%,63.0%,72.0%
0,Year 1,ReHo,Workflow D,Gradient Boosting,BASC197,0.251,19.54,0.77,74.1%,80.0%,74.1%,80.0%
0,Year 1,ReHo,Workflow D,Gradient Boosting,BASC444,0.441,16.88,0.75,73.1%,76.9%,74.1%,76.0%
0,Year 1,ReHo,Workflow D,Gradient Boosting,Schaefer,0.309,18.76,0.752,71.4%,79.2%,70.4%,80.0%
0,Year 1,ReHo,Workflow D,SVM,BASC197,-0.155,24.25,0.653,64.0%,66.7%,66.7%,64.0%
0,Year 1,ReHo,Workflow D,SVM,BASC444,-0.183,24.55,0.633,62.5%,64.3%,66.7%,60.0%
0,Year 1,ReHo,Workflow D,SVM,Schaefer,0.134,21.0,0.713,67.9%,75.0%,66.7%,76.0%
0,Year 1,ReHo,Workflow D,Random Forest,BASC197,0.442,16.85,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,ReHo,Workflow D,Random Forest,BASC444,0.398,17.51,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,ReHo,Workflow D,Random Forest,Schaefer,0.438,16.91,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,ReHo,Workflow E,ElasticNet,BASC197,0.424,17.13,0.736,66.7%,84.2%,59.3%,88.0%
0,Year 1,ReHo,Workflow E,ElasticNet,BASC444,0.487,16.17,0.773,71.0%,85.7%,66.7%,88.0%
0,Year 1,ReHo,Workflow E,ElasticNet,Schaefer,0.325,18.54,0.719,63.9%,87.5%,51.9%,92.0%
0,Year 1,ReHo,Workflow E,Gradient Boosting,BASC197,0.472,16.39,0.827,80.8%,84.6%,81.5%,84.0%
0,Year 1,ReHo,Workflow E,Gradient Boosting,BASC444,0.293,18.97,0.81,75.9%,87.0%,74.1%,88.0%
0,Year 1,ReHo,Workflow E,Gradient Boosting,Schaefer,0.404,17.43,0.79,75.0%,83.3%,74.1%,84.0%
0,Year 1,ReHo,Workflow E,SVM,BASC197,0.215,19.99,0.619,58.1%,66.7%,51.9%,72.0%
0,Year 1,ReHo,Workflow E,SVM,BASC444,0.154,20.76,0.639,59.4%,70.0%,51.9%,76.0%
0,Year 1,ReHo,Workflow E,SVM,Schaefer,0.188,20.34,0.658,61.3%,71.4%,55.6%,76.0%
0,Year 1,ReHo,Workflow E,Random Forest,BASC197,0.451,16.73,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,ReHo,Workflow E,Random Forest,BASC444,0.399,17.49,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,ReHo,Workflow E,Random Forest,Schaefer,0.461,16.57,0.824,86.4%,80.0%,88.9%,76.0%
0,Year 1,ReHo,Workflow F,ElasticNet,BASC197,0.506,15.86,0.713,67.9%,75.0%,66.7%,76.0%
0,Year 1,ReHo,Workflow F,ElasticNet,BASC444,0.463,16.54,0.658,61.3%,71.4%,55.6%,76.0%
0,Year 1,ReHo,Workflow F,ElasticNet,Schaefer,0.513,15.75,0.695,65.5%,73.9%,63.0%,76.0%
0,Year 1,ReHo,Workflow F,Gradient Boosting,BASC197,0.278,19.18,0.752,71.4%,79.2%,70.4%,80.0%
0,Year 1,ReHo,Workflow F,Gradient Boosting,BASC444,0.274,19.23,0.753,70.0%,81.8%,66.7%,84.0%
0,Year 1,ReHo,Workflow F,Gradient Boosting,Schaefer,0.415,17.27,0.752,71.4%,79.2%,70.4%,80.0%
0,Year 1,ReHo,Workflow F,SVM,BASC197,-0.353,26.25,0.632,63.6%,63.3%,70.4%,56.0%
0,Year 1,ReHo,Workflow F,SVM,BASC444,-0.163,24.34,0.636,60.7%,66.7%,59.3%,68.0%
0,Year 1,ReHo,Workflow F,SVM,Schaefer,0.116,21.22,0.693,66.7%,72.0%,66.7%,72.0%
0,Year 1,ReHo,Workflow F,Random Forest,BASC197,0.464,16.53,0.772,72.4%,82.6%,70.4%,84.0%
0,Year 1,ReHo,Workflow F,Random Forest,BASC444,0.516,15.7,0.79,75.0%,83.3%,74.1%,84.0%
0,Year 1,ReHo,Workflow F,Random Forest,Schaefer,0.519,15.65,0.807,80.0%,81.5%,81.5%,80.0%
0,Year 1,ReHo,Workflow H,ElasticNet,BASC197,0.456,16.64,0.676,63.3%,72.7%,59.3%,76.0%
